+-------------------------------------------------------------------------+
| msanalyzer 3.0.0                                                        |
|                                                                         |
| Author: Marcus Bruno Fernandes Silva                                    |
| email: marcusbfs@gmail.com                                              |
|                                                                         |
| file analyzed: "D:\Applications\msanalyzer\input_examples\ms_input.xps" |
| Date: 16-Apr-2021                                                       |
+-------------------------------------------------------------------------+

# diameter [microns]	volume fraction [-]	cumulative volume fraction [-]
   1.5000080000    0.0000000000    0.0000000000
   1.6832073550    0.0000000000    0.0000000000
   1.8883855539    0.0002000000    0.0002000000
   2.1184900283    0.0006000000    0.0008000000
   2.3770553212    0.0006000000    0.0014000000
   2.6670864253    0.0008000000    0.0022000000
   2.9925323724    0.0011000000    0.0033000000
   3.3579294215    0.0014000000    0.0047000000
   3.7677562288    0.0018000000    0.0065000000
   4.2270210551    0.0023000000    0.0088000000
   4.7426203727    0.0029000000    0.0117000000
   5.3216809374    0.0036000000    0.0153000000
   5.9710991450    0.0044000000    0.0197000000
   6.6994178852    0.0054000000    0.0251000000
   7.5165385651    0.0066000000    0.0317000000
   8.4340090111    0.0078000000    0.0395000000
   9.4633195022    0.0093000000    0.0488000000
  10.6179060082    0.0108000000    0.0596000000
  11.9132654214    0.0124000000    0.0720000000
  13.3668403522    0.0141000000    0.0861000000
  14.9981343173    0.0157000000    0.1018000000
  16.8281245241    0.0173000000    0.1191000000
  18.8812075885    0.0187000000    0.1378000000
  21.1849002830    0.0200000000    0.1578000000
  23.7700811946    0.0211000000    0.1789000000
  26.6708066807    0.0221000000    0.2010000000
  29.9249093232    0.0230000000    0.2240000000
  33.5763468531    0.0239000000    0.2479000000
  37.6730836274    0.0249000000    0.2728000000
  42.2694507890    0.0261000000    0.2989000000
  47.4273782957    0.0276000000    0.3265000000
  53.2148060600    0.0292000000    0.3557000000
  59.7080440812    0.0309000000    0.3866000000
  66.9934765332    0.0325000000    0.4191000000
  75.1674465643    0.0337000000    0.4528000000
  84.3392036778    0.0343000000    0.4871000000
  94.6301900505    0.0341000000    0.5212000000
 106.1765271423    0.0331000000    0.5543000000
 119.1320670013    0.0313000000    0.5856000000
 133.6684611230    0.0292000000    0.6148000000
 149.9789254329    0.0269000000    0.6417000000
 168.2791267508    0.0250000000    0.6667000000
 188.8120758850    0.0236000000    0.6903000000
 211.8508909587    0.0231000000    0.7134000000
 237.7005703401    0.0234000000    0.7368000000
 266.7044746156    0.0244000000    0.7612000000
 299.2475619483    0.0259000000    0.7871000000
 335.7610507846    0.0274000000    0.8145000000
 376.7296618425    0.0284000000    0.8429000000
 422.6974552656    0.0285000000    0.8714000000
 474.2744853858    0.0277000000    0.8991000000
 532.1450556277    0.0259000000    0.9250000000
 597.0769638095    0.0232000000    0.9482000000
 669.9312307334    0.0201000000    0.9683000000
 751.6747648937    0.0162000000    0.9845000000
 843.3927392016    0.0114000000    0.9959000000
 946.3021997533    0.0041000000    1.0000000000
1061.7688060223    0.0000000000    1.0000000000
1191.3246190460    0.0000000000    1.0000000000
